id,skills,location,certification,education,skill_level,work_preference,experience
1,physician,Philadelphia,PALS CPR,Master,intermediate,part-time,7
2,physician,Chicago,CPR PALS,Master,advanced,day shift,30
3,physician,Los Angeles,BLS NRP ACLS,Master,advanced,day shift,29
4,physician,Philadelphia,BLS CPR NRP ACLS,Master,advanced,day shift,1
5,physician,Philadelphia,ACLS PALS CPR NRP,Master,entry-level,full-time,12
6,physician,Los Angeles,ACLS NRP PALS,Master,intermediate,night shift,25
7,physician,Philadelphia,BLS ACLS PALS,Master,advanced,full-time,11
8,physician,Houston,BLS CPR,Master,intermediate,part-time,24
9,physician,Houston,NRP PALS ACLS,Master,advanced,night shift,15
10,physician,Philadelphia,PALS CPR ACLS NRP BLS,Master,intermediate,part-time,11
11,physician,Chicago,PALS BLS,Master,intermediate,full-time,15
12,physician,New York,PALS ACLS BLS NRP,Master,entry-level,full-time,25
13,physician,Houston,PALS NRP,Master,entry-level,full-time,23
14,physician,Philadelphia,NRP,Master,intermediate,part-time,5
15,physician,Philadelphia,PALS,Master,intermediate,full-time,21
16,physician,Houston,NRP CPR PALS,Master,intermediate,day shift,24
17,physician,Houston,PALS NRP ACLS,Master,intermediate,day shift,29
18,physician,New York,NRP CPR BLS,Master,entry-level,full-time,8
19,physician,Chicago,PALS ACLS NRP BLS,Master,entry-level,night shift,25
20,physician,Chicago,BLS CPR PALS,Master,advanced,part-time,24
21,physician,Houston,NRP CPR PALS ACLS BLS,Master,advanced,day shift,11
22,physician,Houston,NRP ACLS BLS,Master,entry-level,day shift,2
23,physician,Philadelphia,NRP ACLS,Master,entry-level,day shift,24
24,physician,Houston,BLS CPR ACLS,Master,advanced,day shift,27
25,physician,Houston,ACLS NRP CPR,Master,intermediate,part-time,22
26,physician,Los Angeles,PALS CPR NRP BLS,Master,intermediate,part-time,8
27,physician,Los Angeles,NRP,Master,advanced,night shift,24
28,physician,Houston,CPR ACLS,Master,intermediate,part-time,11
29,physician,New York,CPR BLS NRP PALS,Master,entry-level,part-time,20
30,physician,Los Angeles,PALS BLS ACLS CPR,Master,entry-level,full-time,24
31,physician,New York,PALS CPR,Master,intermediate,day shift,14
32,physician,Chicago,ACLS BLS CPR PALS,Master,intermediate,part-time,7
33,physician,New York,NRP BLS ACLS PALS,Master,advanced,full-time,17
34,physician,Chicago,BLS ACLS,Master,intermediate,night shift,22
35,physician,Chicago,BLS CPR NRP ACLS,Master,intermediate,night shift,6
36,physician,Los Angeles,ACLS PALS NRP,Master,entry-level,full-time,20
37,physician,New York,PALS,Master,intermediate,part-time,28
38,physician,Los Angeles,BLS CPR NRP,Master,entry-level,day shift,10
39,physician,Los Angeles,CPR BLS NRP ACLS,Master,advanced,full-time,14
40,physician,Los Angeles,NRP ACLS CPR,Master,intermediate,full-time,24
41,physician,Chicago,PALS CPR,Master,intermediate,night shift,16
42,physician,Chicago,ACLS CPR,Master,intermediate,day shift,12
43,physician,Los Angeles,BLS CPR PALS ACLS,Master,intermediate,part-time,22
44,physician,Houston,CPR,Master,entry-level,night shift,11
45,physician,New York,ACLS BLS CPR,Master,entry-level,day shift,29
46,physician,New York,PALS BLS NRP CPR ACLS,Master,advanced,full-time,8
47,physician,Philadelphia,CPR PALS,Master,entry-level,full-time,30
48,physician,Houston,BLS NRP,Master,intermediate,full-time,6
49,physician,Houston,CPR,Master,entry-level,night shift,29
50,physician,Houston,NRP BLS ACLS CPR PALS,Master,intermediate,full-time,19
51,physician,Houston,BLS CPR,Master,entry-level,day shift,1
52,physician,Chicago,NRP ACLS BLS CPR,Master,advanced,full-time,28
53,physician,Chicago,CPR ACLS NRP,Master,intermediate,day shift,23
54,physician,Los Angeles,CPR PALS ACLS BLS NRP,Master,intermediate,day shift,20
55,physician,Houston,CPR,Master,entry-level,night shift,24
